"Time","129.57.177.136:8088"
2024-06-11 20:30:30,1.31
2024-06-11 20:30:45,1.36
2024-06-11 20:31:00,1.42
2024-06-11 20:31:15,1.02
2024-06-11 20:31:30,0.933
2024-06-11 20:31:45,0.933
2024-06-11 20:32:00,1.33
2024-06-11 20:32:15,1.42
2024-06-11 20:32:30,1.24
2024-06-11 20:32:45,1.22
2024-06-11 20:33:00,1.49
2024-06-11 20:33:15,1.60
2024-06-11 20:33:30,1.47
2024-06-11 20:33:45,1.44
2024-06-11 20:34:00,1.47
2024-06-11 20:34:15,1.33
2024-06-11 20:34:30,1.22
2024-06-11 20:34:45,1.27
2024-06-11 20:35:00,1.53
2024-06-11 20:35:15,1.49
2024-06-11 20:35:30,1.51
2024-06-11 20:35:45,1.60
2024-06-11 20:36:00,1.67
2024-06-11 20:36:15,1.49
2024-06-11 20:36:30,1.33
2024-06-11 20:36:45,1.53
2024-06-11 20:37:00,1.49
2024-06-11 20:37:15,1.20
2024-06-11 20:37:30,0.867
2024-06-11 20:37:45,1.09
2024-06-11 20:38:00,1.60
2024-06-11 20:38:15,1.64
2024-06-11 20:38:30,1.62
2024-06-11 20:38:45,1.36
2024-06-11 20:39:00,1.31
2024-06-11 20:39:15,1.16
2024-06-11 20:39:30,1.16
2024-06-11 20:39:45,1.07
2024-06-11 20:40:00,1.33
2024-06-11 20:40:15,1.22
2024-06-11 20:40:30,1.42
2024-06-11 20:40:45,1.27
2024-06-11 20:41:00,1.47
2024-06-11 20:41:15,1.22
2024-06-11 20:41:30,1.40
2024-06-11 20:41:45,1.56
2024-06-11 20:42:00,1.62
2024-06-11 20:42:15,1.16
2024-06-11 20:42:30,0.800

